def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	C2H16NO5+	134.102299		C2H16NO5	134.0942	134.1104												1								
1	1	C10H14+	134.109002		C10H14	134.1009	134.1171												1								
1	1	C7H20NO+	134.153941		C7H20NO	134.1458	134.1621												1								
1	1	C4H7O5+	135.028800		C4H7O5	135.0206	135.0370												1								
1	1	C8H7O2+	135.044056		C8H7O2	135.0359	135.0522												1								
1	1	C5H11O4+	135.065185		C5H11O4	135.0570	135.0734												1								
1	1	C9H11O+	135.080441		C9H11O	135.0723	135.0886												1								
1	1	C6H15O3+	135.101571		C6H15O3	135.0934	135.1098												1								
1	1	C10H15+	135.116827		C10H15	135.1086	135.1250												1								
1	1	CH4N4O4+	136.022706		CH4N4O4	136.0145	136.0309												1								
1	1	C7H6NO2+	136.039305		C7H6NO2	136.0311	136.0475												1								
1	1	C3H8N2O4+	136.047858		C3H8N2O4	136.0396	136.0561												1								
1	1	C4H4N6+	136.049196		C4H4N6	136.0410	136.0574												1								
1	1	C4H10NO4+	136.060434		C4H10NO4	136.0522	136.0687												1								
1	1	C6H8N4+	136.074348		C6H8N4	136.0661	136.0826												1								
1	1	C8H10NO+	136.075690		C8H10NO	136.0674	136.0839												1								
1	1	C9H12O+	136.088266		C9H12O	136.0806	136.0971												1								
1	1	C5H14NO3+	136.096820		C5H14NO3	136.0886	136.1051												1								
1	1	CH16N2O5+	136.105373		CH16N2O5	136.0971	136.1136												1								
1	1	C9H14N+	136.112076		C9H14N	136.1038	136.1203												1								
1	1	C5H16N2O2+	136.120629		C5H16N2O2	136.1124	136.1289												1								
1	1	C10H16+	136.124652		C10H16	136.1170	136.1334												1								
1	1	C7H5SO+	137.005562		C7H5SO	136.9973	137.0139												1								
1	1	C7H5O3+	137.023320		C7H5O3	137.0150	137.0316												1								
1	1	C4H9O5+	137.044450		C4H9O5	137.0362	137.0527												1								
1	1	C7H7NO2+	137.047130		C7H7NO2	137.0388	137.0554												1								
1	1	C8H9O2+	137.059706		C8H9O2	137.0514	137.0680												1								
1	1	C7H9N2O+	137.070939		C7H9N2O	137.0626	137.0792												1								
1	1	C9H13O+	137.096091		C9H13O	137.0878	137.1044												1								
1	1	C10H17+	137.132477		C10H17	137.1242	137.1408												1				Monoterpenes	ARICalGas2	CalGasOliktok;ARICalTank1;HAPMAPCal;CalGasTX;VTCal		2.5
1	1	C6H4NO3+	138.018569		C6H4NO3	138.0102	138.0269												1								
1	1	C7H6O3+	138.031145		C7H6O3	138.0234	138.0400												1								
1	1	C7H8NO2+	138.054955		C7H8NO2	138.0466	138.0633												1								
1	1	C6H8N3O+	138.066188		C6H8N3O	138.0578	138.0745												1								
1	1	C8H10O2+	138.067531		C8H10O2	138.0597	138.0764												1								
1	1	C4H12NO4+	138.076084		C4H12NO4	138.0677	138.0844												1								
1	1	C8H12NO+	138.091340		C8H12NO	138.0830	138.0997												1								
1	1	C9H14O+	138.103916		C9H14O	138.0956	138.1123												1								
1	1	C2H20NO5+	138.133599		C2H20NO5	138.1253	138.1419												1								
1	1	C7H7SO+	139.021212		C7H7SO	139.0128	139.0296												1								
1	1	C3H7O6+	139.023714		C3H7O6	139.0159	139.0327												1								
1	1	C7H7O3+	139.038971		C7H7O3	139.0306	139.0474												1								
1	1	C8H11O2+	139.075356		C8H11O2	139.0670	139.0838												1								
1	1	C9H15O+	139.111742		C9H15O	139.1033	139.1201												1								
1	1	C10H19+	139.148127		C10H19	139.1397	139.1565												1								
1	1	C9O2+	139.989281		C9O2	139.9814	139.9983												1								
1	1	C6H4O4+	140.010410		C6H4O4	140.0025	140.0194												1								
1	1	C6H6NO3+	140.034219		C6H6NO3	140.0258	140.0427												1								
1	1	C7H8O3+	140.046796		C7H8O3	140.0384	140.0552												1								
1	1	C10H6N+	140.049476		C10H6N	140.0410	140.0579												1								
1	1	C11H8+	140.062052		C11H8	140.0536	140.0705												1								
1	1	C7H10NO2+	140.070605		C7H10NO2	140.0622	140.0791												1								
1	1	C8H12O2+	140.083181		C8H12O2	140.0753	140.0922												1								
1	1	C5H16O4+	140.104310		C5H16O4	140.0959	140.1128												1								
1	1	C8H14NO+	140.106990		C8H14NO	140.0985	140.1154												1								
1	1	C9H16O+	140.119567		C9H16O	140.1117	140.1286												1								
1	1	C9H18N+	140.143376		C9H18N	140.1349	140.1518												1								
1	1	C5H3NS2+	140.970143		C5H3NS2	140.9617	140.9786												1								
1	1	C6H5O4+	141.018235		C6H5O4	141.0097	141.0267												1								
1	1	C3H9O6+	141.039364		C3H9O6	141.0314	141.0484												1								
1	1	C7H9O3+	141.054621		C7H9O3	141.0461	141.0631												1								
1	1	C8H13O2+	141.091006		C8H13O2	141.0825	141.0995												1								
1	1	C9H17O+	141.127392		C9H17O	141.1189	141.1359												1								
1	1	C10H21+	141.163777		C10H21	141.1553	141.1723												1								
1	1	C8H2N2O+	142.016164		C8H2N2O	142.0076	142.0247												1								
1	1	C6H6O4+	142.026060		C6H6O4	142.0181	142.0352												1								
1	1	C6H8NO3+	142.049870		C6H8NO3	142.0413	142.0584												1								
1	1	C9H6N2+	142.052550		C9H6N2	142.0440	142.0611												1								
1	1	C7H10O3+	142.062446		C7H10O3	142.0544	142.0715												1								
1	1	C6H10N2O2+	142.073679		C6H10N2O2	142.0651	142.0822												1								
1	1	C2H12N3O4+	142.082232		C2H12N3O4	142.0737	142.0908												1								
1	1	C4H14O5+	142.083575		C4H14O5	142.0750	142.0921												1								
1	1	C7H12NO2+	142.086255		C7H12NO2	142.0777	142.0948												1								
1	1	C8H14O2+	142.098831		C8H14O2	142.0908	142.1079												1								
1	1	C8H16NO+	142.122641		C8H16NO	142.1141	142.1312												1								
1	1	C9H18O+	142.135217		C9H18O	142.1272	142.1443												1								
1	1	CH4I+	142.935223		CH4I	142.9266	142.9438												1								
1	1	C6H7O4+	143.033885		C6H7O4	143.0253	143.0425												1								
1	1	C7H11O3+	143.070271		C7H11O3	143.0617	143.0789												1								
1	1	C11H11+	143.085527		C11H11	143.0769	143.0941												1								
1	1	C8H15O2+	143.106656		C8H15O2	143.0981	143.1153												1								
1	1	C9H19O+	143.143042		C9H19O	143.1344	143.1516												1								
1	1	C10H23+	143.179427		C10H23	143.1708	143.1880												1								
1	1	C5H6NO4+	144.029134		C5H6NO4	144.0205	144.0378												1								
1	1	C6H8O4+	144.041710		C6H8O4	144.0331	144.0504												1								
1	1	C9H6NO+	144.044390		C9H6NO	144.0357	144.0530												1								
1	1	C10H8O+	144.056966		C10H8O	144.0483	144.0656												1								
1	1	C6H10NO3+	144.065520		C6H10NO3	144.0569	144.0742												1								
1	1	C7H12O3+	144.078096		C7H12O3	144.0694	144.0867												1								
1	1	C10H10N+	144.080776		C10H10N	144.0721	144.0894												1								
1	1	C7H14NO2+	144.101905		C7H14NO2	144.0933	144.1106												1								
1	1	C8H18NO+	144.138291		C8H18NO	144.1296	144.1469												1								
1	1	C9H22N+	144.174676		C9H22N	144.1660	144.1833												1								
1	1	C5H5O5+	145.013150		C5H5O5	145.0050	145.0224												1								
1	1	C6H9O4+	145.049535		C6H9O4	145.0408	145.0582												1								
1	1	C10H9O+	145.064791		C10H9O	145.0561	145.0735												1								
1	1	C9H9N2+	145.076025		C9H9N2	145.0673	145.0847												1								
1	1	C7H13O3+	145.085921		C7H13O3	145.0772	145.0946												1								
1	1	C11H13+	145.101177		C11H13	145.0925	145.1099												1								
1	1	C8H17O2+	145.122306		C8H17O2	145.1142	145.1316												1								
1	1	C9H21O+	145.158692		C9H21O	145.1500	145.1674												1								
1	1	SF6+	145.961942		SF6	145.9532	145.9707												1								
1	1	C6H4[35Cl]2+	145.968457		C6H4[35Cl]2	145.9601	145.9768												1						explIso		
1	1	C4H4NO5+	146.008399		C4H4NO5	146.0002	146.0177												1								
1	1	C12H2+	146.015101		C12H2	146.0064	146.0238												1								
1	1	C5H6O5+	146.020975		C5H6O5	146.0128	146.0303												1								
1	1	C2H10O7+	146.042104		C2H10O7	146.0334	146.0509												1								
1	1	C5H8NO4+	146.044784		C5H8NO4	146.0366	146.0541												1								
1	1	CH10N2O6+	146.053337		CH10N2O6	146.0446	146.0621												1								
1	1	C9H8NO+	146.060040		C9H8NO	146.0518	146.0693												1								
1	1	C3H14O6+	146.078490		C3H14O6	146.0697	146.0872												1								
1	1	C6H12NO3+	146.081170		C6H12NO3	146.0730	146.0905												1								
1	1	C10H12N+	146.096426		C10H12N	146.0877	146.1052												1								
1	1	C11H14+	146.109002		C11H14	146.1002	146.1178												1								
1	1	C7H16NO2+	146.117555		C7H16NO2	146.1094	146.1269												1								
1	1	HSF6+	146.969767		HSF6	146.9610	146.9786												1								
1	1	C6H5[35Cl]2+	146.976282		C6H5[35Cl]2	146.9679	146.9847												1						explIso		
1	1	C5H7O5+	147.028800		C5H7O5	147.0200	147.0376												1								
1	1	C9H7O2+	147.044056		C9H7O2	147.0353	147.0529												1								
1	1	C6H11O4+	147.065185		C6H11O4	147.0564	147.0740												1								
1	1	C5H11N2O3+	147.076419		C5H11N2O3	147.0676	147.0852												1								
1	1	C10H11O+	147.080441		C10H11O	147.0716	147.0892												1								
1	1	C9H11N2+	147.091675		C9H11N2	147.0829	147.1005												1								
1	1	C7H15O3+	147.101571		C7H15O3	147.0928	147.1104												1								
1	1	C6H15N2O2+	147.112804		C6H15N2O2	147.1040	147.1216												1								
1	1	C11H15+	147.116827		C11H15	147.1080	147.1256												1								
1	1	C8H19O2+	147.137956		C8H19O2	147.1292	147.1468												1								
1	1	C6H4[35Cl][37Cl]+	147.965507		C6H4[35Cl][37Cl]	147.9571	147.9739												1						explIso		
1	1	C11O+	147.994366		C11O	147.9861	148.0038												1								
1	1	C8H4O3+	148.015495		C8H4O3	148.0072	148.0249												1								
1	1	C4H6NO5+	148.024049		C4H6NO5	148.0152	148.0329												1								
1	1	C5H2N5O+	148.025386		C5H2N5O	148.0171	148.0348												1								
1	1	C5H8O5+	148.036625		C5H8O5	148.0283	148.0460												1								
1	1	C8H6NO2+	148.039305		C8H6NO2	148.0305	148.0482												1								
1	1	C4H8N2O4+	148.047858		C4H8N2O4	148.0390	148.0567												1								
1	1	C8H8N2O+	148.063114		C8H8N2O	148.0548	148.0725												1								
1	1	C4H10N3O3+	148.071668		C4H10N3O3	148.0634	148.0811												1								
1	1	C6H12O4+	148.073010		C6H12O4	148.0642	148.0819												1								
1	1	C9H10NO+	148.075690		C9H10NO	148.0668	148.0845												1								
1	1	C10H12O+	148.088266		C10H12O	148.0794	148.0971												1								
1	1	C6H14NO3+	148.096820		C6H14NO3	148.0885	148.1062												1								
1	1	C10H14N+	148.112076		C10H14N	148.1038	148.1215												1								
1	1	C11H16+	148.124652		C11H16	148.1158	148.1335												1								
1	1	C8H22NO+	148.169591		C8H22NO	148.1607	148.1784												1								
1	1	C6H5[35Cl][37Cl]+	148.973332		C6H5[35Cl][37Cl]	148.9649	148.9818												1						explIso		
1	1	CH2NSF3O2+	148.975285		CH2NSF3O2	148.966385	148.984185												1								
1	1	C8H5O3+	149.023320		C8H5O3	149.014417	149.032223												1								
1	1	C5H9O5+	149.044450		C5H9O5	149.035546	149.053354												1								
1	1	C9H9O2+	149.059706		C9H9O2	149.050801	149.068611												1								
1	1	C9H11NO+	149.083515		C9H11NO	149.075158	149.092970												1								
1	1	C10H13O+	149.096091		C10H13O	149.087184	149.104998												1								
1	1	C5H15N3O2+	149.115878		C5H15N3O2	149.107519	149.125335												1								
1	1	C10H15N+	149.119901		C10H15N	149.110993	149.128809												1								
1	1	C11H17+	149.132477		C11H17	149.123569	149.141385												1								
1	1	C8H21O2+	149.153606		C8H21O2	149.144697	149.162515												1								
1	1	C12H6+	150.046402		C12H6	150.037995	150.055905												1								
1	1	C8H8NO2+	150.054955		C8H8NO2	150.045999	150.063911												1								
1	1	C9H10O2+	150.067531		C9H10O2	150.059124	150.077036												1								
1	1	C5H12NO4+	150.076084		C5H12NO4	150.067127	150.085041												1								
1	1	C6H14O4+	150.088660		C6H14O4	150.079703	150.097617												1								
1	1	C9H12NO+	150.091340		C9H12NO	150.082383	150.100297												1								
1	1	C10H14O+	150.103916		C10H14O	150.095507	150.113423												1								
1	1	C6H16NO3+	150.112470		C6H16NO3	150.103512	150.121428												1								
1	1	C10H16N+	150.127726		C10H16N	150.118767	150.136685												1								
1	1	C11H3O+	151.017841		C11H3O	151.008836	151.026846												1								
1	1	C4H7O6+	151.023714		C4H7O6	151.014709	151.032719												1								
1	1	H9NO8+	151.032268		H9NO8	151.023263	151.041273												1								
1	1	C8H7O3+	151.038971		C8H7O3	151.029965	151.047977												1								
1	1	C4H11N2O4+	151.071333		C4H11N2O4	151.062326	151.080340												1								
1	1	C9H11O2+	151.075356		C9H11O2	151.066348	151.084364												1								
1	1	C10H15O+	151.111742		C10H15O	151.102733	151.120751												1								
1	1	C7H19O3+	151.132871		C7H19O3	151.123860	151.141882												1								
1	1	C11H19+	151.148127		C11H19	151.139116	151.157138												1								
1	1	C[35Cl]4+	151.874862		C[35Cl]4	151.8663	151.8835												1						explIso		
1	1	C7H6NO3+	152.034219		C7H6NO3	152.025162	152.043276												1								
1	1	C8H8O3+	152.046796		C8H8O3	152.037739	152.055853												1								
1	1	C8H10NO2+	152.070605		C8H10NO2	152.061547	152.079663												1								
1	1	C4H12N2O4+	152.079158		C4H12N2O4	152.070099	152.088217												1								
1	1	C9H12O2+	152.083181		C9H12O2	152.074671	152.092789												1								
1	1	C6H16O4+	152.104310		C6H16O4	152.095250	152.113370												1								
1	1	C9H14NO+	152.106990		C9H14NO	152.098479	152.116599												1								
1	1	C8H14N3+	152.118224		C8H14N3	152.109163	152.127285												1								
1	1	C10H16O+	152.119567		C10H16O	152.110506	152.128628												1								
1	1	C3H22NO5+	152.149249		C3H22NO5	152.140187	152.158311												1								
1	1	CH[35Cl]4+	152.882687		CH[35Cl]4	152.8740	152.8913												1						explIso		
1	1	C8H9O3+	153.054621		C8H9O3	153.045512	153.063730												1								
1	1	C12H9+	153.069877		C12H9	153.060767	153.078987												1								
1	1	C9H13O2+	153.091006		C9H13O2	153.081895	153.100117												1								
1	1	C10H17O+	153.127392		C10H17O	153.118280	153.136504												1								
1	1	C10H19N+	153.151201		C10H19N	153.142087	153.160315												1								
1	1	C11H21+	153.163777		C11H21	153.154663	153.172891												1								
1	1	C[35Cl]3[37Cl]+	153.871912		C[35Cl]3[37Cl]	153.8632	153.8806												1						explIso		
1	1	C7H6O4+	154.026060		C7H6O4	154.017451	154.035767												1								
1	1	C7H8NO3+	154.049870		C7H8NO3	154.040710	154.059030												1								
1	1	C8H10O3+	154.062446		C8H10O3	154.053834	154.072154												1								
1	1	C11H8N+	154.065126		C11H8N	154.055966	154.074286												1								
1	1	C8H12NO2+	154.086255		C8H12NO2	154.077094	154.095416												1								
1	1	C9H14O2+	154.098831		C9H14O2	154.090218	154.108542												1								
1	1	C6H18O4+	154.119960		C6H18O4	154.110797	154.129123												1								
1	1	C9H16NO+	154.122641		C9H16NO	154.114026	154.132352												1								
1	1	C11H22+	154.171602		C11H22	154.162436	154.180768												1								
1	1	CH[35Cl]3[37Cl]+	154.879737		CH[35Cl]3[37Cl]	154.8710	154.8885												1						explIso		
1	1	C7H7O4+	155.033885		C7H7O4	155.024675	155.043095												1								
1	1	C7H9NO3+	155.057695		C7H9NO3	155.048484	155.066906												1								
1	1	C8H11O3+	155.070271		C8H11O3	155.061059	155.079483												1								
1	1	C12H11+	155.085527		C12H11	155.076315	155.094739												1								
1	1	C9H15O2+	155.106656		C9H15O2	155.097442	155.115870												1								
1	1	C10H19O+	155.143042		C10H19O	155.133827	155.152257												1						VTCal		
1	1	C11H23+	155.179427		C11H23	155.170210	155.188644												1								
1	1	C[35Cl]2[37Cl]2+	155.868962		C[35Cl]2[37Cl]2	155.8602	155.8777												1						explIso		
1	1	C7H8SO2+	156.023952		C7H8SO2	156.014692	156.033212												1								
1	1	C6H6NO4+	156.029134		C6H6NO4	156.020422	156.038944												1								
1	1	C2H8N2O6+	156.037687		C2H8N2O6	156.028426	156.046948												1								
1	1	C7H8O4+	156.041710		C7H8O4	156.032449	156.050971												1								
1	1	C7H10NO3+	156.065520		C7H10NO3	156.056257	156.074783												1								
1	1	C8H12O3+	156.078096		C8H12O3	156.069381	156.087907												1								
